[Epoch 278/1000] Loss: 0.6446  Acc: 76.03%
[Epoch 279/1000] Loss: 0.6370  Acc: 76.14%
[Epoch 280/1000] Loss: 0.6485  Acc: 75.82%
[Epoch 281/1000] Loss: 0.6494  Acc: 75.62%
[Epoch 282/1000] Loss: 0.6424  Acc: 76.12%
[Epoch 283/1000] Loss: 0.6455  Acc: 75.91%
[Epoch 284/1000] Loss: 0.6413  Acc: 76.10%
[Epoch 285/1000] Loss: 0.6443  Acc: 75.95%
[Epoch 286/1000] Loss: 0.6421  Acc: 75.90%
[Epoch 287/1000] Loss: 0.6440  Acc: 76.15%
[Epoch 288/1000] Loss: 0.6417  Acc: 76.18%
[Epoch 289/1000] Loss: 0.6376  Acc: 76.22%
[Epoch 290/1000] Loss: 0.6377  Acc: 76.22%
[Epoch 291/1000] Loss: 0.6441  Acc: 75.99%
[Epoch 292/1000] Loss: 0.6460  Acc: 75.89%
[Epoch 293/1000] Loss: 0.6419  Acc: 75.93%
[Epoch 294/1000] Loss: 0.6378  Acc: 76.21%
[Epoch 295/1000] Loss: 0.6393  Acc: 76.23%
[Epoch 296/1000] Loss: 0.6475  Acc: 75.86%
[Epoch 297/1000] Loss: 0.6420  Acc: 76.14%
[Epoch 298/1000] Loss: 0.6365  Acc: 76.16%
[Epoch 299/1000] Loss: 0.6415  Acc: 76.17%
[Epoch 300/1000] Loss: 0.6398  Acc: 76.12%
[Epoch 301/1000] Loss: 0.6423  Acc: 76.15%
[Epoch 302/1000] Loss: 0.6391  Acc: 76.09%
[Epoch 303/1000] Loss: 0.6415  Acc: 75.89%
[Epoch 304/1000] Loss: 0.6455  Acc: 75.88%
[Epoch 305/1000] Loss: 0.6402  Acc: 76.16%
[Epoch 306/1000] Loss: 0.6370  Acc: 76.17%
[Epoch 307/1000] Loss: 0.6390  Acc: 76.18%
[Epoch 308/1000] Loss: 0.6416  Acc: 76.12%
[Epoch 309/1000] Loss: 0.6398  Acc: 76.10%
[Epoch 310/1000] Loss: 0.6404  Acc: 75.98%
[Epoch 311/1000] Loss: 0.6446  Acc: 75.68%
[Epoch 312/1000] Loss: 0.6430  Acc: 75.93%
[Epoch 313/1000] Loss: 0.6351  Acc: 76.23%
[Epoch 314/1000] Loss: 0.6424  Acc: 76.02%
[Epoch 315/1000] Loss: 0.6383  Acc: 76.10%
[Epoch 316/1000] Loss: 0.6346  Acc: 76.28%
[Epoch 317/1000] Loss: 0.6374  Acc: 76.20%
[Epoch 318/1000] Loss: 0.6399  Acc: 76.11%
[Epoch 319/1000] Loss: 0.6364  Acc: 76.44%
[Epoch 320/1000] Loss: 0.6340  Acc: 76.44%
[Epoch 321/1000] Loss: 0.6369  Acc: 76.13%
[Epoch 322/1000] Loss: 0.6334  Acc: 76.39%
[Epoch 323/1000] Loss: 0.6389  Acc: 76.21%
[Epoch 324/1000] Loss: 0.6418  Acc: 76.02%
[Epoch 325/1000] Loss: 0.6348  Acc: 76.32%
[Epoch 326/1000] Loss: 0.6365  Acc: 76.23%
[Epoch 327/1000] Loss: 0.6379  Acc: 76.33%
[Epoch 328/1000] Loss: 0.6402  Acc: 76.23%
[Epoch 329/1000] Loss: 0.6323  Acc: 76.57%
[Epoch 330/1000] Loss: 0.6395  Acc: 76.18%
[Epoch 331/1000] Loss: 0.6348  Acc: 76.28%
[Epoch 332/1000] Loss: 0.6356  Acc: 76.44%
[Epoch 333/1000] Loss: 0.6330  Acc: 76.51%
[Epoch 334/1000] Loss: 0.6274  Acc: 76.37%
[Epoch 335/1000] Loss: 0.6321  Acc: 76.34%
[Epoch 336/1000] Loss: 0.6403  Acc: 75.92%
[Epoch 337/1000] Loss: 0.6346  Acc: 76.27%
[Epoch 338/1000] Loss: 0.6343  Acc: 76.20%
[Epoch 339/1000] Loss: 0.6275  Acc: 76.60%
[Epoch 340/1000] Loss: 0.6358  Acc: 76.34%
[Epoch 341/1000] Loss: 0.6324  Acc: 76.29%
[Epoch 342/1000] Loss: 0.6256  Acc: 76.62%
[Epoch 343/1000] Loss: 0.6300  Acc: 76.59%
[Epoch 344/1000] Loss: 0.6281  Acc: 76.55%
[Epoch 345/1000] Loss: 0.6266  Acc: 76.36%
[Epoch 346/1000] Loss: 0.6314  Acc: 76.48%
[Epoch 347/1000] Loss: 0.6317  Acc: 76.34%
[Epoch 348/1000] Loss: 0.6386  Acc: 76.21%
[Epoch 349/1000] Loss: 0.6229  Acc: 76.61%
[Epoch 350/1000] Loss: 0.6291  Acc: 76.66%
[Epoch 351/1000] Loss: 0.6338  Acc: 76.32%
[Epoch 352/1000] Loss: 0.6359  Acc: 76.32%
[Epoch 353/1000] Loss: 0.6327  Acc: 76.36%
[Epoch 354/1000] Loss: 0.6295  Acc: 76.60%
[Epoch 355/1000] Loss: 0.6236  Acc: 76.75%
[Epoch 356/1000] Loss: 0.6339  Acc: 76.26%
[Epoch 357/1000] Loss: 0.6261  Acc: 76.45%
[Epoch 358/1000] Loss: 0.6326  Acc: 76.46%
[Epoch 359/1000] Loss: 0.6329  Acc: 76.58%
[Epoch 360/1000] Loss: 0.6285  Acc: 76.33%
[Epoch 361/1000] Loss: 0.6314  Acc: 76.37%
[Epoch 362/1000] Loss: 0.6306  Acc: 76.51%
[Epoch 363/1000] Loss: 0.6284  Acc: 76.29%
[Epoch 364/1000] Loss: 0.6315  Acc: 76.25%
[Epoch 365/1000] Loss: 0.6294  Acc: 76.43%
[Epoch 366/1000] Loss: 0.6284  Acc: 76.52%
[Epoch 367/1000] Loss: 0.6329  Acc: 76.23%
[Epoch 368/1000] Loss: 0.6259  Acc: 76.73%
[Epoch 369/1000] Loss: 0.6252  Acc: 76.43%
[Epoch 370/1000] Loss: 0.6298  Acc: 76.49%
[Epoch 371/1000] Loss: 0.6329  Acc: 76.46%
[Epoch 372/1000] Loss: 0.6291  Acc: 76.47%
[Epoch 373/1000] Loss: 0.6262  Acc: 76.67%
[Epoch 374/1000] Loss: 0.6325  Acc: 76.07%
[Epoch 375/1000] Loss: 0.6220  Acc: 76.73%
[Epoch 376/1000] Loss: 0.6302  Acc: 76.47%
[Epoch 377/1000] Loss: 0.6305  Acc: 76.32%
[Epoch 378/1000] Loss: 0.6316  Acc: 76.49%
[Epoch 379/1000] Loss: 0.6278  Acc: 76.49%
[Epoch 380/1000] Loss: 0.6313  Acc: 76.23%
[Epoch 381/1000] Loss: 0.6278  Acc: 76.63%
[Epoch 382/1000] Loss: 0.6274  Acc: 76.48%
[Epoch 383/1000] Loss: 0.6282  Acc: 76.67%
[Epoch 384/1000] Loss: 0.6187  Acc: 76.77%
[Epoch 385/1000] Loss: 0.6289  Acc: 76.43%
[Epoch 386/1000] Loss: 0.6260  Acc: 76.59%
[Epoch 387/1000] Loss: 0.6267  Acc: 76.37%
[Epoch 388/1000] Loss: 0.6221  Acc: 76.55%
[Epoch 389/1000] Loss: 0.6247  Acc: 76.67%
[Epoch 390/1000] Loss: 0.6263  Acc: 76.67%
[Epoch 391/1000] Loss: 0.6197  Acc: 76.79%
[Epoch 392/1000] Loss: 0.6266  Acc: 76.69%
[Epoch 393/1000] Loss: 0.6252  Acc: 76.69%
[Epoch 394/1000] Loss: 0.6233  Acc: 76.66%
[Epoch 395/1000] Loss: 0.6237  Acc: 76.75%
[Epoch 396/1000] Loss: 0.6229  Acc: 76.59%
[Epoch 397/1000] Loss: 0.6202  Acc: 76.76%
[Epoch 398/1000] Loss: 0.6262  Acc: 76.49%
[Epoch 399/1000] Loss: 0.6251  Acc: 76.78%
[Epoch 400/1000] Loss: 0.6206  Acc: 76.70%
[Epoch 401/1000] Loss: 0.6167  Acc: 77.09%
[Epoch 402/1000] Loss: 0.6214  Acc: 76.78%
[Epoch 403/1000] Loss: 0.6214  Acc: 76.60%
[Epoch 404/1000] Loss: 0.6228  Acc: 76.70%
[Epoch 405/1000] Loss: 0.6257  Acc: 76.63%
[Epoch 406/1000] Loss: 0.6183  Acc: 77.10%
[Epoch 407/1000] Loss: 0.6249  Acc: 76.54%
[Epoch 408/1000] Loss: 0.6182  Acc: 76.94%
[Epoch 409/1000] Loss: 0.6255  Acc: 76.57%
[Epoch 410/1000] Loss: 0.6261  Acc: 76.55%
[Epoch 411/1000] Loss: 0.6185  Acc: 76.83%
[Epoch 412/1000] Loss: 0.6131  Acc: 77.05%
[Epoch 413/1000] Loss: 0.6289  Acc: 76.57%
[Epoch 414/1000] Loss: 0.6196  Acc: 76.78%
[Epoch 415/1000] Loss: 0.6196  Acc: 76.78%
[Epoch 416/1000] Loss: 0.6201  Acc: 76.88%
[Epoch 417/1000] Loss: 0.6214  Acc: 76.86%
[Epoch 418/1000] Loss: 0.6229  Acc: 76.84%
[Epoch 419/1000] Loss: 0.6235  Acc: 76.77%
[Epoch 420/1000] Loss: 0.6203  Acc: 76.62%
[Epoch 421/1000] Loss: 0.6223  Acc: 76.58%
[Epoch 422/1000] Loss: 0.6228  Acc: 76.69%
[Epoch 423/1000] Loss: 0.6210  Acc: 76.74%
[Epoch 424/1000] Loss: 0.6210  Acc: 76.47%
[Epoch 425/1000] Loss: 0.6218  Acc: 76.76%
[Epoch 426/1000] Loss: 0.6164  Acc: 77.09%
[Epoch 427/1000] Loss: 0.6172  Acc: 76.91%
[Epoch 428/1000] Loss: 0.6220  Acc: 76.76%
[Epoch 429/1000] Loss: 0.6140  Acc: 77.03%
[Epoch 430/1000] Loss: 0.6215  Acc: 76.69%
[Epoch 431/1000] Loss: 0.6162  Acc: 77.00%
[Epoch 432/1000] Loss: 0.6199  Acc: 76.94%
[Epoch 433/1000] Loss: 0.6189  Acc: 76.88%
[Epoch 434/1000] Loss: 0.6118  Acc: 77.28%
[Epoch 435/1000] Loss: 0.6177  Acc: 76.76%
[Epoch 436/1000] Loss: 0.6231  Acc: 76.45%
[Epoch 437/1000] Loss: 0.6140  Acc: 76.95%
[Epoch 438/1000] Loss: 0.6203  Acc: 76.70%
[Epoch 439/1000] Loss: 0.6218  Acc: 76.62%
[Epoch 440/1000] Loss: 0.6191  Acc: 76.79%
[Epoch 441/1000] Loss: 0.6133  Acc: 76.85%
[Epoch 442/1000] Loss: 0.6175  Acc: 76.93%
[Epoch 443/1000] Loss: 0.6131  Acc: 77.16%
[Epoch 444/1000] Loss: 0.6214  Acc: 76.93%
[Epoch 445/1000] Loss: 0.6153  Acc: 76.95%
[Epoch 446/1000] Loss: 0.6069  Acc: 77.55%
[Epoch 447/1000] Loss: 0.6190  Acc: 76.88%
[Epoch 448/1000] Loss: 0.6203  Acc: 76.86%
[Epoch 449/1000] Loss: 0.6186  Acc: 76.79%
[Epoch 450/1000] Loss: 0.6142  Acc: 77.08%
[Epoch 451/1000] Loss: 0.6189  Acc: 76.65%
